timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1633945295104,168,ADAGIO adv,200,,Http URL/API Test 1-6,bin,true,,729,456,57,57,https://tracker.exaudi.neodatagroup.eu/adv?sid=999&id=11264&ad=122298&pv=ADAGIO&ac=i&sz=@@num:width@@x@@num:height@@&ci=@@dyn:campaign_id@@&pl=@@dyn:location_id@@&cr=@@dyn:creative_id@@&rnd=@@dyn:millis@@&rt=img,168,0,0
1633945295109,163,ADAGIO adv,200,,Http URL/API Test 1-21,bin,true,,729,456,57,57,https://tracker.exaudi.neodatagroup.eu/adv?sid=999&id=11264&ad=122298&pv=ADAGIO&ac=i&sz=@@num:width@@x@@num:height@@&ci=@@dyn:campaign_id@@&pl=@@dyn:location_id@@&cr=@@dyn:creative_id@@&rnd=@@dyn:millis@@&rt=img,163,0,0
1633945295117,155,,200,,Http URL/API Test 1-39,text,true,,685,931,57,57,https://tracker.exaudi.neodatagroup.eu/pv?sid=999&rnd=1400234593842&id=11187&ad=122308&rs=1920x1080&lg=it&tz=-120&ur=https%3A%2F%2Fwww.neodatagroup.com%2F&re=&co=24&gdpr=1&gdpr_consent=CPHHbAsPHHbAsAKAeAITBcCsAP_AAH_AABCYH3tf_X__bX9j-_59__t0eY1f9_7_v-wzjhfdt-8N2P_X_L0X42E7PF36pq4KuR4Eu3LBIQNlHOHUTUmw6okVrTPsak2Mr7NKJ7LEmnMZe2dYGHtfn91TuZKY7_78_9fz3_-v_v___9f3r-3_3__59X---_e_V399zLv9__3__9geAASYal8AFmJY4Ek0aVQogQhWEh0AoAKKAYWiawgYXBTsrAI9QQMAEBqAjAiBBiCjFgEAAAEASERASAHggEQBEAgABACpAQgAImAQWAFgYBAAKAaFiBFAEIEhBkcFRymBARItFBPJWAJRd7GGEIZRYAUCj-iowEShBAAA.cHAAAAgAAAAA,155,0,0
1633945295118,154,,200,,Http URL/API Test 1-31,text,true,,685,931,57,57,https://tracker.exaudi.neodatagroup.eu/pv?sid=999&rnd=1400234593842&id=11187&ad=122308&rs=1920x1080&lg=it&tz=-120&ur=https%3A%2F%2Fwww.neodatagroup.com%2F&re=&co=24&gdpr=1&gdpr_consent=CPHHbAsPHHbAsAKAeAITBcCsAP_AAH_AABCYH3tf_X__bX9j-_59__t0eY1f9_7_v-wzjhfdt-8N2P_X_L0X42E7PF36pq4KuR4Eu3LBIQNlHOHUTUmw6okVrTPsak2Mr7NKJ7LEmnMZe2dYGHtfn91TuZKY7_78_9fz3_-v_v___9f3r-3_3__59X---_e_V399zLv9__3__9geAASYal8AFmJY4Ek0aVQogQhWEh0AoAKKAYWiawgYXBTsrAI9QQMAEBqAjAiBBiCjFgEAAAEASERASAHggEQBEAgABACpAQgAImAQWAFgYBAAKAaFiBFAEIEhBkcFRymBARItFBPJWAJRd7GGEIZRYAUCj-iowEShBAAA.cHAAAAgAAAAA,154,0,0
1633945295108,174,ADAGIO adv,200,,Http URL/API Test 1-34,bin,true,,729,456,58,58,https://tracker.exaudi.neodatagroup.eu/adv?sid=999&id=11264&ad=122298&pv=ADAGIO&ac=i&sz=@@num:width@@x@@num:height@@&ci=@@dyn:campaign_id@@&pl=@@dyn:location_id@@&cr=@@dyn:creative_id@@&rnd=@@dyn:millis@@&rt=img,174,0,0
1633945295109,173,ADAGIO adv,200,,Http URL/API Test 1-40,bin,true,,729,456,58,58,https://tracker.exaudi.neodatagroup.eu/adv?sid=999&id=11264&ad=122298&pv=ADAGIO&ac=i&sz=@@num:width@@x@@num:height@@&ci=@@dyn:campaign_id@@&pl=@@dyn:location_id@@&cr=@@dyn:creative_id@@&rnd=@@dyn:millis@@&rt=img,173,0,0
1633945295105,177,ADAGIO adv,200,,Http URL/API Test 1-45,bin,true,,729,456,58,58,https://tracker.exaudi.neodatagroup.eu/adv?sid=999&id=11264&ad=122298&pv=ADAGIO&ac=i&sz=@@num:width@@x@@num:height@@&ci=@@dyn:campaign_id@@&pl=@@dyn:location_id@@&cr=@@dyn:creative_id@@&rnd=@@dyn:millis@@&rt=img,177,0,0
1633945295109,173,ADAGIO adv,200,,Http URL/API Test 1-17,bin,true,,729,456,58,58,https://tracker.exaudi.neodatagroup.eu/adv?sid=999&id=11264&ad=122298&pv=ADAGIO&ac=i&sz=@@num:width@@x@@num:height@@&ci=@@dyn:campaign_id@@&pl=@@dyn:location_id@@&cr=@@dyn:creative_id@@&rnd=@@dyn:millis@@&rt=img,173,0,0
1633945295107,175,ADAGIO adv,200,,Http URL/API Test 1-48,bin,true,,729,456,58,58,https://tracker.exaudi.neodatagroup.eu/adv?sid=999&id=11264&ad=122298&pv=ADAGIO&ac=i&sz=@@num:width@@x@@num:height@@&ci=@@dyn:campaign_id@@&pl=@@dyn:location_id@@&cr=@@dyn:creative_id@@&rnd=@@dyn:millis@@&rt=img,175,0,0
1633945295177,149,EVENT,200,,Http URL/API Test 1-51,bin,true,,613,484,58,58,https://tracker.exaudi.neodatagroup.eu/events?sid=999&cat=UTM&lbl=&val=evtcampaign_test&ur=file%3A%2F%2F%2FC%3A%2FUsers%2Fsalvo.asero%2FDesktop%2Fexaudineodata%2Findex.html%3Futm_campaign%3Dtest&re=&rt=img&rnd=1260451234249,149,0,0
